IMDb id,Name,type,Running Time,Year,Age,IMDb Rating,genres,platform
tt1227177,Driven to Kill,Movie,98,2009,R,5.1,Action,Amazon Prime
tt1776065,Antim Swash Sundar,Movie,103,2010,G,5.6,Drama,Amazon Prime
tt3678782,Badlapur,Movie,134,2015,G,7.4,Action,Amazon Prime
tt0706048,Dreams,Movie,149,2004,PG-13,7.5,Animation,Amazon Prime
tt2872732,Lucy,Movie,89,2014,R,6.4,Action,Amazon Prime
tt6260318,10 Kalpanakal,Movie,123,2016,PG-13,5.7,Crime,Amazon Prime
tt0090203,The Trip to Bountiful,Movie,107,1985,PG,7.5,Drama,Amazon Prime
tt0326576,Humraaz,Movie,166,2002,PG-13,6.4,Action,Amazon Prime
tt2240966,Dead Drop,Movie,86,2013,G,3.6,Action,Amazon Prime
tt0112442,Bad Boys,Movie,118,1995,PG-13,6.9,Action,Amazon Prime
tt9747276,Aadi Lakshmi Puraana,Movie,121,2019,PG-13,6.5,Comedy,Amazon Prime
tt0110891,Royal Deceit,Movie,107,1994,R,5.5,Adventure,Amazon Prime
tt8186318,Overcomer,Movie,119,2019,PG,6.6,Drama,Amazon Prime
tt0097640,Kala Bazaar,Movie,144,1989,G,5.5,Action,Amazon Prime
tt0119654,Men in Black,Movie,97,1997,PG-13,7.3,Action,Amazon Prime
tt10217550,Vinci Da,Movie,113,2019,PG-13,7.4,Crime,Amazon Prime
tt8427164,Fidaa,Movie,146,2018,PG-13,5,Drama,Amazon Prime
tt10692228,Anveshanam,Movie,99,2020,G,6,Drama,Amazon Prime
tt0402127,The Defender,Movie,87,2004,R,4.9,Action,Amazon Prime
tt0189633,Kareeb,Movie,148,1998,G,6.5,Drama,Amazon Prime
tt3548948,Sex and Broadcasting,Movie,78,2014,G,6.7,Biography,Amazon Prime
tt13242960,Middle Class Melodies,Movie,135,2020,PG-13,7.8,Comedy,Amazon Prime
tt2056520,Arcadia,Movie,91,2012,PG-13,6.1,Adventure,Amazon Prime
tt4160708,Don't Breathe,Movie,88,2016,R,7.1,Crime,Amazon Prime
tt0246833,Oru Maravathoor Kanavu,Movie,131,1998,G,6.8,Comedy,Amazon Prime
tt0111102,Second Best,Movie,105,1994,PG-13,6.9,Drama,Amazon Prime
tt5188376,Yaare Neenu Cheluve,Movie,140,1998,PG-13,7.7,Romance,Amazon Prime
tt11200922,Ghawre Bairey Aaj,Movie,133,2019,PG-13,6.3,Drama,Amazon Prime
tt0800080,The Incredible Hulk,Movie,112,2008,PG-13,6.6,Action,Amazon Prime
tt0499182,Anokha Milan,Movie,125,1972,G,6.4,Drama,Amazon Prime
tt1559025,Amish Grace,Movie,88,2010,PG-13,7.1,Biography,Amazon Prime
tt0926084,Harry Potter and the Deathly Hallows: Part 1,Movie,146,2010,PG-13,7.7,Adventure,Amazon Prime
tt1699525,Winner,Movie,145,2003,PG-13,6.4,Action,Amazon Prime
tt0099044,Another 48 Hrs.,Movie,95,1990,R,5.9,Action,Amazon Prime
tt1478325,Malibu Shark Attack,Movie,86,2009,R,3.1,Action,Amazon Prime
tt5494840,Phuntroo,Movie,130,2016,G,5.4,Sci-Fi,Amazon Prime
tt9468400,Shah Jahan Regency,Movie,153,2019,PG-13,6.6,Drama,Amazon Prime
tt10731866,Bakrid,Movie,118,2019,G,7.4,Drama,Amazon Prime
tt0489099,Jumper,Movie,88,2008,PG-13,6.1,Action,Amazon Prime
tt2211173,Yevadu,Movie,165,2014,PG-13,5.7,Action,Amazon Prime
tt0077200,Badaltey Rishtey,Movie,136,1978,G,6.6,Drama,Amazon Prime
