"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"2670","tt9266192","Locust","TV Show",2014,"TV-MA","N/A","Crime",5.8,"Netflix"
"2671","tt5050788","Loev","Movie",2015,"TV-MA","92","Drama",5.8,"Netflix"
"2672","tt0074812","Logan's Run","Movie",1976,"PG","119","Action",6.8,"Netflix"
"2673","tt10965300","Lola Igna","Movie",2019,"TV-14","114","Drama",7.3,"Netflix"
"2674","tt4506998","LoliRock","TV Show",2016,"TV-Y","26","Action",7.3,"Netflix"
"2675","tt0056193","Lolita","Movie",1962,"R","153","Crime",7.6,"Netflix"
"2676","tt5075584","Lommbock","Movie",2017,"TV-MA","91","Comedy",6.7,"Netflix"
"2677","tt4108134","London Spy","TV Show",2015,"TV-MA","60","Crime",7.4,"Netflix"
"2678","tt0031590","Long Shot","Movie",2017,"TV-14","69","Drama",6.2,"Netflix"
"2679","tt7043176","Long Time Running","Movie",2017,"TV-14","97","Documentary",7.9,"Netflix"
"2680","tt1836037","Longmire","TV Show",2017,"TV-MA","60","Action",8.3,"Netflix"
"2681","tt6341754","Look Who's Back","Movie",2015,"NR","49","Reality-TV",7.6,"Netflix"
"2682","tt3577244","Lorai: Play to Live","Movie",2015,"TV-14","N/A","Drama",7.2,"Netflix"
"2683","tt2903370","Los Herederos","Movie",2015,"TV-MA","N/A","Drama",5.7,"Netflix"
"2684","tt11062058","Los Niños Héroes de Chapultepec","Movie",2017,"TV-14","87","Documentary",7.4,"Netflix"
"2685","tt10857582","Los Tigres del Norte at Folsom Prison","Movie",2019,"TV-PG","64","Documentary",7,"Netflix"
"2686","tt0503670","Losers","TV Show",2019,"TV-MA","43","Comedy",6.4,"Netflix"
"2687","tt6004848","Losing Sight of Shore","Movie",2017,"TV-14","92","Adventure",7.4,"Netflix"
"2688","tt5023972","Lost & Found Music Studios","TV Show",2016,"TV-G","30","Family",6.8,"Netflix"
"2689","tt9755304","Lost Bullet","Movie",2020,"TV-MA","N/A","Crime",8.2,"Netflix"
"2690","tt0278841","Lost Girl","TV Show",2015,"TV-14","40","Short",8.3,"Netflix"
"2691","tt1522797","Lost Girls","Movie",2020,"R","42","Drama",8.6,"Netflix"
"2692","tt0089505","Lost in London","Movie",2017,"TV-PG","97","Drama",6.8,"Netflix"
"2693","tt0058824","Lost in Space","TV Show",2019,"TV-PG","60","Adventure",7.2,"Netflix"
"2694","tt9203030","Loudon Wainwright III: Surviving Twin","Movie",2018,"TV-14","91","Documentary",7.1,"Netflix"
"2695","tt6736782","Louis C.K. 2017","Movie",2017,"N/A","74","Comedy",7.6,"Netflix"
"2696","tt1421373","Louis C.K.: Hilarious","Movie",2010,"N/A","82","Comedy",8.4,"Netflix"
"2697","tt4368814","Louis C.K.: Live at the Comedy Store","Movie",2015,"N/A","66","Comedy",7.9,"Netflix"
"2698","tt0010391","Love","TV Show",2018,"TV-MA","23","Comedy",6.8,"Netflix"
"2699","tt10888876","Love & Anarchy","TV Show",2020,"TV-MA","30","Comedy",7.4,"Netflix"
"2700","tt0119495","Love 101","TV Show",2020,"TV-MA","86","Comedy",4.7,"Netflix"
"2701","tt10023024","Love Aaj Kal","Movie",2020,"TV-MA","142","Drama",4.7,"Netflix"
"2702","tt7647198","Love and Shukla","Movie",2017,"TV-MA","107","Comedy",7.4,"Netflix"
"2703","tt4686108","Love Beats Rhymes","Movie",2016,"R","106","Drama",5.5,"Netflix"
"2704","tt6357262","Love Cheque Charge","TV Show",2014,"TV-14","48","Drama",7.5,"Netflix"
"2705","tt9238392","Love Dot Com: The Social Experiment","Movie",2019,"TV-MA","97","Romance",4.6,"Netflix"
"2706","tt6671178","Love Family","TV Show",2013,"TV-MA","48","Drama",7.8,"Netflix"
"2707","tt0589776","Love for Sale","Movie",2018,"TV-14","30","Comedy",7.8,"Netflix"
"2708","tt10643938","Love for Sale 2","Movie",2019,"TV-14","92","Drama",6.9,"Netflix"
"2709","tt3764686","Love Is a Story","Movie",2015,"TV-MA","97","Comedy",6.1,"Netflix"
"2710","tt0522859","Love Is Blind","Movie",2019,"TV-MA","43","Drama",5.7,"Netflix"
"2711","tt0558714","Love Is in the Air","TV Show",2010,"TV-14","43","Comedy",8,"Netflix"
"2712","tt0214890","Love Is War","Movie",2019,"TV-14","96","Drama",4.7,"Netflix"
"2713","tt4329242","Love Jacked","Movie",2018,"PG-13","100","Comedy",5.8,"Netflix"
"2714","tt0119572","Love Jones","Movie",1997,"R","104","Drama",7.4,"Netflix"
"2715","tt0048317","Love Me or Leave Me","TV Show",2012,"TV-14","122","Biography",7.1,"Netflix"
"2716","tt7580570","Love Ni Bhavai","Movie",2017,"TV-14","146","Comedy",8.4,"Netflix"
"2717","tt6055498","Love O2O","Movie",2016,"TV-14","45","Drama",7.9,"Netflix"
"2718","tt11904786","Love on the Spectrum","TV Show",2019,"TV-14","N/A","Documentary",8.5,"Netflix"
"2719","tt7853242","Love Per Square Foot","Movie",2018,"TV-14","133","Comedy",7.2,"Netflix"
"2720","tt7999584","Love Rain","TV Show",2012,"TV-PG","88","Horror",5.4,"Netflix"
"2721","tt7543072","Love Shot","Movie",2018,"TV-MA","80","Comedy",5.5,"Netflix"
"2722","tt5889406","Love Station","Movie",2011,"TV-14","N/A","Drama",7,"Netflix"
"2723","tt5096470","Love Wedding Repeat","Movie",2020,"TV-MA","100","Comedy",5.5,"Netflix"
"2724","tt7127344","Love You to the Stars and Back","Movie",2017,"TV-14","111","Adventure",7.6,"Netflix"
"2725","tt7277350","Love You... Love You Not","Movie",2015,"TV-14","95","Comedy",5.6,"Netflix"
"2726","tt3002170","Love Your Garden","TV Show",2013,"TV-G","N/A","Reality-TV",8.1,"Netflix"
"2727","tt9561862","Love, Death & Robots","TV Show",2019,"TV-MA","15","Animation",8.5,"Netflix"
"2728","tt11100856","Love, Guaranteed","Movie",2020,"TV-PG","90","Comedy",5.6,"Netflix"
"2729","tt1638002","Love, Rosie","Movie",2014,"R","102","Comedy",7.2,"Netflix"
"2730","tt0202458","Love.com","Movie",2017,"TV-MA","85","Thriller",2.3,"Netflix"
"2731","tt0085873","Lovesick","TV Show",2014,"TV-MA","95","Comedy",5.2,"Netflix"
"2732","tt0279202","Lovesong","Movie",2016,"TV-MA","11","Short",6.3,"Netflix"
"2733","tt13557174","Lovestruck in the City","TV Show",2020,"TV-14","30","Drama",8.7,"Netflix"
"2734","tt2638900","LoveTrue","Movie",2016,"TV-MA","82","Documentary",6.6,"Netflix"
"2735","tt0066017","Loving","Movie",2016,"PG-13","89","Comedy",6,"Netflix"
"2736","tt0323120","Loving Annabelle","Movie",2006,"TV-MA","77","Drama",6.3,"Netflix"
"2737","tt0050659","Loving You","Movie",1995,"TV-14","101","Drama",6.5,"Netflix"
"2738","tt1608777","LSD: Love, Sex Aur Dhokha","Movie",2010,"TV-MA","155","Comedy",7.1,"Netflix"
"2739","tt6218048","Lucas Brothers: On Drugs","Movie",2017,"TV-MA","50","Comedy",5.6,"Netflix"
"2740","tt12325326","Luccas Neto em: Acampamento de Férias 2","Movie",2020,"TV-G","81","Comedy",2.3,"Netflix"
"2741","tt7607400","Luciano Mellera: Infantiloide","Movie",2018,"TV-14","66","Comedy",8.2,"Netflix"
"2742","tt3650334","Lucid Dream","Movie",2017,"TV-MA","14","Adventure",7.7,"Netflix"
"2743","tt0235555","Lucifer","TV Show",2020,"TV-14","100","Horror",3.6,"Netflix"
"2744","tt0886539","Luck by Chance","Movie",2009,"TV-14","156","Drama",7.1,"Netflix"
"2745","tt9466786","Luckee","Movie",2019,"TV-14","N/A","Comedy",4.5,"Netflix"
"2746","tt5697870","Lucknow Central","Movie",2017,"TV-14","133","Action",6.3,"Netflix"
